CYCLIC
INTERPOLATION LINEAR
TIME_UNITS yr
DATA_UNITS Pa
0 3688.79173952945
0.002739726 3687.14257568763
0.005479452 3683.84047922004
0.008219178 3645.497862205
0.010958904 3602.16278302482
0.01369863 3498.26346477454
0.016438356 3649.69896084209
0.019178082 3664.7548139897
0.021917808 3599.58555296211
0.024657534 3627.76185704983
0.02739726 3644.65664612141
0.030136986 3648.01951615899
0.032876712 3668.91828421618
0.035616438 3678.87786894542
0.038356164 3663.08716216217
0.04109589 3684.66647531886
0.043835616 3650.538187007
0.046575342 3633.69038653166
0.049315068 3658.07640622482
0.052054795 3651.37708288974
0.054794521 3663.08716216217
0.057534247 3645.497862205
0.060273973 3609.01985992481
0.063013699 3601.30406073213
0.065753425 3586.65121822501
0.068493151 3462.70312953728
0.071232877 3569.27851629537
0.073972603 3601.30406073213
0.076712329 3620.11488262322
0.079452055 3621.81661345568
0.082191781 3626.91356312401
0.084931507 3624.36663067965
0.087671233 3617.55969909755
0.090410959 3617.55969909755
0.093150685 3617.55969909755
0.095890411 3619.26350021624
0.098630137 3612.4399759444
0.101369863 3594.421491953
0.104109589 3579.7197122381
0.106849315 3581.45477262229
0.109589041 3626.06492768633
0.112328767 3641.28844762328
0.115068493 3642.97321452026
0.117808219 3606.45109565663
0.120547945 3578.85163397343
0.123287671 3583.18837468439
0.126027397 3622.66696260492
0.128767123 3617.55969909755
0.131506849 3618.41177249567
0.134246575 3611.58547096092
0.136986301 3612.4399759444
0.139726027 3622.66696260492
0.142465753 3617.55969909755
0.145205479 3577.11437910245
0.147945205 3588.38046711475
0.150684932 3603.87916650139
0.153424658 3614.14794034857
0.156164384 3596.14427208013
0.15890411 3523.40494511499
0.161643836 3546.47147400314
0.164383562 3578.85163397343
0.167123288 3600.44498417185
0.169863014 3595.28306066726
0.17260274 3546.47147400314
0.175342466 3518.0441033651
0.178082192 3555.273643412
0.180821918 3559.66049073684
0.183561644 3571.89379375919
0.18630137 3590.9716344216
0.189041096 3616.64319779003
0.191780822 3645.497862205
0.194520548 3673.07370737207
0.197260274 3725.57209658986
0.2 3804.40628612345
0.202739726 3900.97025173017
0.205479452 4028.21872000385
0.208219178 4173.68401978202
0.210958904 4337.08383488305
0.21369863 4436.86162140661
0.216438356 4551.08620305718
0.219178082 4638.31037857665
0.221917808 4672.52461455548
0.224657534 4683.84716651728
0.22739726 4689.49327946538
0.230136986 4723.16103518889
0.232876712 4778.5012676784
0.235616438 4773.00959630251
0.238356164 4827.51614775915
0.24109589 4891.76147653345
0.243835616 4773.00959630251
0.246575342 4800.37604770231
0.249315068 4954.8057220972
0.252054795 4843.69386697982
0.254794521 4678.19096297902
0.257534247 4711.97789445535
0.260273973 4939.1536083705
0.263013699 5201.05050819209
0.265753425 4619.78007653782
0.268493151 4672.62546216865
0.271232877 4707.48943106086
0.273972603 4701.20659453972
0.276712329 5017.24552552181
0.279452055 5331.53491658838
0.282191781 5541.34955162381
0.284931507 5625.78638568564
0.287671233 5761.17165619521
0.290410959 6006.79702848179
0.293150685 6236.20623574463
0.295890411 5899.00100478272
0.298630137 5682.72218088164
0.301369863 5568.33663271995
0.304109589 5649.23700557478
0.306849315 5812.74153487428
0.309589041 5673.56313137216
0.312328767 5462.05023624073
0.315068493 5360.28908224603
0.317808219 5285.24997374643
0.320547945 5110.61482184282
0.323287671 5016.10936625181
0.326027397 4969.22222313394
