# x_m, elev_m
3.206381595398849527e+01,2.865298630524546297e+03
3.246461365341335181e+01,2.865244818566925915e+03
3.286541135283820836e+01,2.865191006609305532e+03
3.326620905226306490e+01,2.865137194651684695e+03
3.366700675168792145e+01,2.865083382694064312e+03
3.406780445111277800e+01,2.865029570736443929e+03
3.446860215053763454e+01,2.864975758778823547e+03
3.486939984996249109e+01,2.864921946821203164e+03
3.527019754938734764e+01,2.864858311084694833e+03
3.567099524881220418e+01,2.864794306600654636e+03
3.607179294823706073e+01,2.864730302116614894e+03
3.647259064766191727e+01,2.864666297632574697e+03
3.687338834708677382e+01,2.864602293148534955e+03
3.727418604651163037e+01,2.864538288664494758e+03
3.767498374593648691e+01,2.864474284180455015e+03
3.807578144536134346e+01,2.864410279696414818e+03
3.847657914478620000e+01,2.864346275212375076e+03
3.887737684421104944e+01,2.864282270728335334e+03
3.927817454363590599e+01,2.864218266244295137e+03
3.967897224306076254e+01,2.864154261760255395e+03
4.007976994248561908e+01,2.864093705638082611e+03
4.048056764191047563e+01,2.864035254639085451e+03
4.088136534133533218e+01,2.863976803640088292e+03
4.128216304076018872e+01,2.863918352641091133e+03
4.168296074018504527e+01,2.863859901642093973e+03
4.208375843960990181e+01,2.863801450643096814e+03
4.248455613903475836e+01,2.863742999644099655e+03
4.288535383845961491e+01,2.863684548645102495e+03
4.328615153788447145e+01,2.863626097646105336e+03
4.368694923730932800e+01,2.863567646647108177e+03
4.408774693673418454e+01,2.863509195648111017e+03
4.448854463615904109e+01,2.863450744649113858e+03
4.488934233558389764e+01,2.863392220874861778e+03
4.529014003500875418e+01,2.863333217891279219e+03
4.569093773443361073e+01,2.863274214907696660e+03
4.609173543385846727e+01,2.863215211924114101e+03
4.649253313328332382e+01,2.863156208940531542e+03
4.689333083270818037e+01,2.863097205956948983e+03
4.729412853213302981e+01,2.863038202973366424e+03
4.769492623155788635e+01,2.862979199989783865e+03
4.809572393098274290e+01,2.862920197006201306e+03
4.849652163040759945e+01,2.862861194022618747e+03
4.889731932983245599e+01,2.862802191039036188e+03
4.929811702925731254e+01,2.862743188055453629e+03
4.969891472868216908e+01,2.862684185071871070e+03
5.009971242810702563e+01,2.862621309238754748e+03
5.050051012753188218e+01,2.862555743263130807e+03
5.090130782695673872e+01,2.862490177287507322e+03
5.130210552638159527e+01,2.862424611311883382e+03
5.170290322580645181e+01,2.862359045336259442e+03
5.210370092523130836e+01,2.862293479360635502e+03
5.250449862465616491e+01,2.862227913385012016e+03
5.290529632408102145e+01,2.862162347409388076e+03
5.330609402350587800e+01,2.862096781433764136e+03
5.370689172293073455e+01,2.862031215458140196e+03
5.410768942235559109e+01,2.861965649482516710e+03
5.450848712178044764e+01,2.861900083506892770e+03
5.490928482120530418e+01,2.861834517531268830e+03
5.531008252063016073e+01,2.861785821323654091e+03
5.571088022005501017e+01,2.861738373464057076e+03
5.611167791947986672e+01,2.861690925604459608e+03
5.651247561890472326e+01,2.861643477744862594e+03
5.691327331832957981e+01,2.861596029885265125e+03
5.731407101775443635e+01,2.861548582025668111e+03
5.771486871717929290e+01,2.861501134166070642e+03
5.811566641660414945e+01,2.861453686306473628e+03
5.851646411602900599e+01,2.861406238446876159e+03
5.891726181545386254e+01,2.861358790587279145e+03
5.931805951487871909e+01,2.861311342727681676e+03
5.971885721430357563e+01,2.861263894868084662e+03
6.011965491372843218e+01,2.861210789001001103e+03
6.052045261315328872e+01,2.861151942999275434e+03
6.092125031257814527e+01,2.861093096997549765e+03
6.132204801200300182e+01,2.861034250995824095e+03
6.172284571142785836e+01,2.860975404994098426e+03
6.212364341085271491e+01,2.860916558992372757e+03
6.252444111027757145e+01,2.860857712990647087e+03
6.292523880970242800e+01,2.860798866988921418e+03
6.332603650912728455e+01,2.860740020987195749e+03
6.372683420855214109e+01,2.860681174985470079e+03
6.412763190797699053e+01,2.860622328983744410e+03
6.452842960740184708e+01,2.860563482982018741e+03
6.492922730682670363e+01,2.860507401565539567e+03
6.533002500625156017e+01,2.860478890113577563e+03
6.573082270567641672e+01,2.860450378661615559e+03
6.613162040510127326e+01,2.860421867209653101e+03
6.653241810452612981e+01,2.860393355757691097e+03
6.693321580395098636e+01,2.860364844305729093e+03
6.733401350337584290e+01,2.860336332853767090e+03
6.773481120280069945e+01,2.860307821401804631e+03
6.813560890222555599e+01,2.860279309949842627e+03
6.853640660165041254e+01,2.860250798497880623e+03
6.893720430107526909e+01,2.860222287045918620e+03
6.933800200050012563e+01,2.860193775593956161e+03
6.973879969992498218e+01,2.860165264141994157e+03
7.013959739934983872e+01,2.860093022448591000e+03
7.054039509877469527e+01,2.860010878439577482e+03
7.094119279819955182e+01,2.859928734430563509e+03
7.134199049762440836e+01,2.859846590421549990e+03
7.174278819704926491e+01,2.859764446412536472e+03
7.214358589647412145e+01,2.859682302403522954e+03
7.254438359589897800e+01,2.859600158394509435e+03
7.294518129532383455e+01,2.859518014385495917e+03
7.334597899474869109e+01,2.859435870376481944e+03
7.374677669417354764e+01,2.859353726367468425e+03
7.414757439359840419e+01,2.859271582358454907e+03
7.454837209302326073e+01,2.859189438349441389e+03
7.494916979244811728e+01,2.859078435103326683e+03
7.534996749187297382e+01,2.858940780572843778e+03
7.575076519129783037e+01,2.858803126042360873e+03
7.615156289072268692e+01,2.858665471511878422e+03
7.655236059014754346e+01,2.858527816981395517e+03
7.695315828957240001e+01,2.858390162450912612e+03
7.735395598899724234e+01,2.858252507920429707e+03
7.775475368842209889e+01,2.858114853389946802e+03
7.815555138784695544e+01,2.857977198859463897e+03
7.855634908727181198e+01,2.857839544328980992e+03
7.895714678669666853e+01,2.857701889798498541e+03
7.935794448612152507e+01,2.857564235268015636e+03
7.975874218554638162e+01,2.857426580737532731e+03
8.015953988497123817e+01,2.857294742455453616e+03
8.056033758439609471e+01,2.857168352737357509e+03
8.096113528382095126e+01,2.857041963019261402e+03
8.136193298324580780e+01,2.856915573301165296e+03
8.176273068267066435e+01,2.856789183583069189e+03
8.216352838209552090e+01,2.856662793864972627e+03
8.256432608152037744e+01,2.856536404146876521e+03
8.296512378094523399e+01,2.856410014428780414e+03
8.336592148037009053e+01,2.856283624710684308e+03
8.376671917979494708e+01,2.856157234992588201e+03
8.416751687921980363e+01,2.856030845274492094e+03
8.456831457864466017e+01,2.855904455556395988e+03
8.496911227806951672e+01,2.855782974734897834e+03
8.536990997749437327e+01,2.855665210043389379e+03
8.577070767691922981e+01,2.855547445351880924e+03
8.617150537634408636e+01,2.855429680660372469e+03
8.657230307576894290e+01,2.855311915968864014e+03
8.697310077519379945e+01,2.855194151277355559e+03
8.737389847461865600e+01,2.855076386585847104e+03
8.777469617404351254e+01,2.854958621894338194e+03
8.817549387346836909e+01,2.854840857202829739e+03
8.857629157289322563e+01,2.854723092511321283e+03
8.897708927231808218e+01,2.854605327819812828e+03
8.937788697174293873e+01,2.854487563128304373e+03
8.977868467116779527e+01,2.854369798436795918e+03
9.017948237059265182e+01,2.854208777719769841e+03
9.058028007001750836e+01,2.854033104089003245e+03
9.098107776944236491e+01,2.853857430458236195e+03
9.138187546886722146e+01,2.853681756827469599e+03
9.178267316829207800e+01,2.853506083196703003e+03
9.218347086771693455e+01,2.853330409565935952e+03
9.258426856714179110e+01,2.853154735935169356e+03
9.298506626656664764e+01,2.852979062304402760e+03
9.338586396599150419e+01,2.852803388673635709e+03
9.378666166541636073e+01,2.852627715042869113e+03
9.418745936484120307e+01,2.852452041412102062e+03
9.458825706426605961e+01,2.852276367781335466e+03
9.498905476369091616e+01,2.852099083268068171e+03
9.538985246311577271e+01,2.851921633245670819e+03
9.579065016254062925e+01,2.851744183223273467e+03
9.619144786196548580e+01,2.851566733200876115e+03
9.659224556139034235e+01,2.851389283178478763e+03
9.699304326081519889e+01,2.851211833156081866e+03
9.739384096024005544e+01,2.851034383133684514e+03
9.779463865966491198e+01,2.850856933111287162e+03
9.819543635908976853e+01,2.850679483088889810e+03
9.859623405851462508e+01,2.850502033066492459e+03
9.899703175793948162e+01,2.850324583044095107e+03
9.939782945736433817e+01,2.850147133021697755e+03
9.979862715678919471e+01,2.849955395329348903e+03
1.001994248562140513e+02,2.849759876595816877e+03
1.006002225556389078e+02,2.849564357862284851e+03
1.010010202550637644e+02,2.849368839128752370e+03
1.014018179544886209e+02,2.849173320395220344e+03
1.018026156539134774e+02,2.848977801661688318e+03
1.022034133533383340e+02,2.848782282928156292e+03
1.026042110527631905e+02,2.848586764194624266e+03
1.030050087521880471e+02,2.848391245461091785e+03
1.034058064516129036e+02,2.848195726727559759e+03
1.038066041510377602e+02,2.848000207994027733e+03
1.042074018504626167e+02,2.847804689260495707e+03
1.046081995498874733e+02,2.847608376734471221e+03
1.050089972493123298e+02,2.847398526620064331e+03
1.054097949487371864e+02,2.847188676505656986e+03
1.058105926481620429e+02,2.846978826391250095e+03
1.062113903475868995e+02,2.846768976276842750e+03
1.066121880470117560e+02,2.846559126162435859e+03
1.070129857464366125e+02,2.846349276048028514e+03
1.074137834458614691e+02,2.846139425933621624e+03
1.078145811452863256e+02,2.845929575819214733e+03
1.082153788447111822e+02,2.845719725704807388e+03
1.086161765441360387e+02,2.845509875590400497e+03
1.090169742435608953e+02,2.845300025475993152e+03
1.094177719429857518e+02,2.845090175361586262e+03
1.098185696424106084e+02,2.844879771823662395e+03
1.102193673418354649e+02,2.844668951279105841e+03
1.106201650412603215e+02,2.844458130734549286e+03
1.110209627406851780e+02,2.844247310189992731e+03
1.114217604401100203e+02,2.844036489645436177e+03
1.118225581395348769e+02,2.843825669100879622e+03
1.122233558389597334e+02,2.843614848556323068e+03
1.126241535383845900e+02,2.843404028011766513e+03
1.130249512378094465e+02,2.843193207467209959e+03
1.134257489372343031e+02,2.842982386922653404e+03
1.138265466366591596e+02,2.842771566378096850e+03
1.142273443360840162e+02,2.842560745833540295e+03
1.146281420355088727e+02,2.842349923658026455e+03
1.150289397349337293e+02,2.842134500856471277e+03
1.154297374343585858e+02,2.841919078054916099e+03
1.158305351337834423e+02,2.841703655253360921e+03
1.162313328332082989e+02,2.841488232451805743e+03
1.166321305326331554e+02,2.841272809650250565e+03
1.170329282320580120e+02,2.841057386848695387e+03
1.174337259314828685e+02,2.840841964047140209e+03
1.178345236309077251e+02,2.840626541245585031e+03
1.182353213303325816e+02,2.840411118444029853e+03
1.186361190297574382e+02,2.840195695642474675e+03
1.190369167291822947e+02,2.839980272840919497e+03
1.194377144286071513e+02,2.839764850039364319e+03
1.198385121280320078e+02,2.839566007422535222e+03
1.202393098274568644e+02,2.839390019764147837e+03
1.206401075268817209e+02,2.839214032105759998e+03
1.210409052263065774e+02,2.839038044447372158e+03
1.214417029257314340e+02,2.838862056788984773e+03
1.218425006251562905e+02,2.838686069130596934e+03
1.222432983245811471e+02,2.838510081472209094e+03
1.226440960240060036e+02,2.838334093813821710e+03
1.230448937234308602e+02,2.838158106155433870e+03
1.234456914228557167e+02,2.837982118497046031e+03
1.238464891222805733e+02,2.837806130838658646e+03
1.242472868217054298e+02,2.837630143180270807e+03
1.246480845211302864e+02,2.837453503399204692e+03
1.250488822205551429e+02,2.837270272489111903e+03
1.254496799199799995e+02,2.837087041579019115e+03
1.258504776194048560e+02,2.836903810668926326e+03
1.262512753188297125e+02,2.836720579758833537e+03
1.266520730182545691e+02,2.836537348848740749e+03
1.270528707176794256e+02,2.836354117938647960e+03
1.274536684171042822e+02,2.836170887028555171e+03
1.278544661165291387e+02,2.835987656118461928e+03
1.282552638159539811e+02,2.835804425208369139e+03
1.286560615153788376e+02,2.835621194298276350e+03
1.290568592148036942e+02,2.835437963388183562e+03
1.294576569142285507e+02,2.835254732478090773e+03
1.298584546136534073e+02,2.835082647720048499e+03
1.302592523130782638e+02,2.834920151349001571e+03
1.306600500125031203e+02,2.834757654977954644e+03
1.310608477119279769e+02,2.834595158606907717e+03
1.314616454113528334e+02,2.834432662235860334e+03
1.318624431107776900e+02,2.834270165864813407e+03
1.322632408102025465e+02,2.834107669493766480e+03
1.326640385096274031e+02,2.833945173122719552e+03
1.330648362090522596e+02,2.833782676751672170e+03
1.334656339084771162e+02,2.833620180380625243e+03
1.338664316079019727e+02,2.833457684009578315e+03
1.342672293073268293e+02,2.833295187638531388e+03
1.346680270067516858e+02,2.833132988106125595e+03
1.350688247061765423e+02,2.832977091402241058e+03
1.354696224056013989e+02,2.832821194698356976e+03
1.358704201050262554e+02,2.832665297994472894e+03
1.362712178044511120e+02,2.832509401290588357e+03
1.366720155038759685e+02,2.832353504586704275e+03
1.370728132033008251e+02,2.832197607882819739e+03
1.374736109027256816e+02,2.832041711178935657e+03
