# x_m, elev_m
2.422635535535535496e+02,2.802741816992942859e+03
2.438679479479479539e+02,2.802506303639251200e+03
2.454723423423423299e+02,2.802324751487404228e+03
2.470767367367367342e+02,2.802180529058823140e+03
2.486811311311311385e+02,2.802036306630242052e+03
2.502855255255255145e+02,2.801920339867426264e+03
2.518899199199199188e+02,2.801836119689242878e+03
2.534943143143142947e+02,2.801751899511059491e+03
2.550987087087086991e+02,2.801708661497108096e+03
2.567031031031031034e+02,2.801731231353942349e+03
2.583074974974974793e+02,2.801753801210776601e+03
2.599118918918919121e+02,2.801778007911644636e+03
2.615162862862862880e+02,2.801806376378342975e+03
2.631206806806806640e+02,2.801834744845041769e+03
2.647250750750750399e+02,2.801856505753620240e+03
2.663294694694694726e+02,2.801824666214140507e+03
2.679338638638638486e+02,2.801792826674660773e+03
2.695382582582582245e+02,2.801760987135180585e+03
2.711426526526526573e+02,2.801924513508217387e+03
2.727470470470470332e+02,2.802094290692809409e+03
2.743514414414414091e+02,2.802264067877401430e+03
2.759558358358358419e+02,2.802259519318070488e+03
2.775602302302302178e+02,2.802236917666307818e+03
2.791646246246245937e+02,2.802214316014545602e+03
2.807690190190190265e+02,2.801919939884018277e+03
2.823734134134134024e+02,2.801561415997002769e+03
2.839778078078077783e+02,2.801202892109987260e+03
2.855822022022022111e+02,2.800682313635950322e+03
2.871865965965965870e+02,2.800087255041778462e+03
2.887909909909909629e+02,2.799492196447606602e+03
2.903953853853853957e+02,2.798816423444122847e+03
2.919997797797797716e+02,2.798085249929712973e+03
2.936041741741741475e+02,2.797354076415303098e+03
2.952085685685685803e+02,2.796487980720000451e+03
2.968129629629629562e+02,2.795480547540021234e+03
2.984173573573573321e+02,2.794473114360041563e+03
3.000217517517517649e+02,2.793543917385658915e+03
3.016261461461461408e+02,2.792722235451418328e+03
3.032305405405405168e+02,2.791900553517177741e+03
3.048349349349349495e+02,2.791108354896293804e+03
3.064393293293293254e+02,2.790552516556485898e+03
3.080437237237237014e+02,2.789996678216678447e+03
3.096481181181181341e+02,2.789440839876870541e+03
3.112525125125125101e+02,2.788990516767262761e+03
3.128569069069068860e+02,2.788548561117598183e+03
3.144613013013013187e+02,2.788106605467933605e+03
3.160656956956956947e+02,2.787748708712721054e+03
3.176700900900900706e+02,2.787414325913087396e+03
3.192744844844845034e+02,2.787079943113454192e+03
3.208788788788788793e+02,2.786850346791235552e+03
3.224832732732732552e+02,2.786672080747413929e+03
3.240876676676676311e+02,2.786493814703592307e+03
3.256920620620620639e+02,2.786324993793793510e+03
3.272964564564564398e+02,2.786164554354354095e+03
3.289008508508508157e+02,2.786004114914915135e+03
3.305052452452452485e+02,2.785834975663947262e+03
3.321096396396396244e+02,2.785656248617824076e+03
3.337140340340340003e+02,2.785477521571701345e+03
3.353184284284284331e+02,2.785291884497975389e+03
3.369228228228228090e+02,2.785092979374095194e+03
3.385272172172171850e+02,2.784894074250214999e+03
3.401316116116116177e+02,2.784677305280569271e+03
3.417360060060059936e+02,2.784399142043597749e+03
3.433404004004003696e+02,2.784120978806626226e+03
3.449447947947948023e+02,2.783835633153764775e+03
3.465491891891891783e+02,2.783483976228390020e+03
3.481535835835835542e+02,2.783132319303015265e+03
3.497579779779779869e+02,2.782780662377640056e+03
3.513623723723723629e+02,2.782458439282656400e+03
3.529667667667667388e+02,2.782136271733580998e+03
3.545711611611611715e+02,2.781814104184506050e+03
3.561755555555555475e+02,2.781497773843093910e+03
3.577799499499499234e+02,2.781182134576047702e+03
3.593843443443443562e+02,2.780866495309001948e+03
3.609887387387387321e+02,2.780602034290020129e+03
3.625931331331331080e+02,2.780356891600084509e+03
3.641975275275275408e+02,2.780111748910148435e+03
3.658019219219219167e+02,2.779825888208450124e+03
3.674063163163162926e+02,2.779515672978114253e+03
3.690107107107107254e+02,2.779205457747777928e+03
3.706151051051051013e+02,2.778908636961547472e+03
3.722194994994994772e+02,2.778623641590722855e+03
3.738238938938939100e+02,2.778338646219897782e+03
3.754282882882882859e+02,2.778070329999603018e+03
3.770326826826826618e+02,2.777822956414564032e+03
3.786370770770770946e+02,2.777575582829525501e+03
3.802414714714714705e+02,2.777301201589881202e+03
3.818458658658658464e+02,2.776972144197164198e+03
3.834502602602602224e+02,2.776643086804446739e+03
3.850546546546546551e+02,2.776310702767399562e+03
3.866590490490490311e+02,2.775965052269504667e+03
3.882634434434434070e+02,2.775619401771610228e+03
3.898678378378378397e+02,2.775267358241131660e+03
3.914722322322322157e+02,2.774837522519474987e+03
3.930766266266265916e+02,2.774407686797818769e+03
3.946810210210210244e+02,2.773978078985935099e+03
3.962854154154154003e+02,2.773593830622927726e+03
3.978898098098097762e+02,2.773209582259919898e+03
3.994942042042042090e+02,2.772825333896912525e+03
4.010985985985985849e+02,2.772391307582845911e+03
4.027029929929929608e+02,2.771947083589247995e+03
4.043073873873873936e+02,2.771502859595650534e+03
4.059117817817817695e+02,2.771106379444057893e+03
4.075161761761761454e+02,2.770726160395761326e+03
4.091205705705705782e+02,2.770345941347464304e+03
4.107249649649649541e+02,2.769981894043835837e+03
4.123293593593593300e+02,2.769625856452846620e+03
4.139337537537537628e+02,2.769269818861857402e+03
